gene	chromosome	sex_chromosome	base_mean	log2_fold_change_male_minus_female	standard_error	wald_statistic	nominal_p	nominal_p_lt_0_05	paper_deg_rule	direction
ING3	7	FALSE	403.513511292219	-0.088279413717638	0.0750433106747727	-1.17637951902507	0.239443252295913	FALSE	FALSE	Female higher
KRT18P16	5	FALSE	1495.92338637378	0.225108418240776	0.191357006630513	1.17637928291506	0.239443346604499	FALSE	FALSE	Male higher
ETFA	15	FALSE	2527.80837175413	0.115332610187006	0.0980647829654463	1.1760859168744	0.239560545001438	FALSE	FALSE	Male higher
SUMO4	6	FALSE	73.1330728878947	-0.244453933968908	0.207921364871188	-1.17570377685983	0.239713268849503	FALSE	FALSE	Female higher
ZNF792	19	FALSE	197.740863066375	-0.162853687159607	0.138541257922698	-1.17548872878341	0.239799243886587	FALSE	FALSE	Female higher
TBC1D3E	17	FALSE	590.734599795282	-0.338890446756133	0.288390993626978	-1.17510759436015	0.239951672731317	FALSE	FALSE	Female higher
REX1BD	19	FALSE	447.164450234041	-0.115073191975295	0.0979595191982469	-1.17470147788715	0.240114167907003	FALSE	FALSE	Female higher
TFPT	19	FALSE	393.735851801435	0.0908595495324268	0.0773557660698432	1.1745672513978	0.240167891609667	FALSE	FALSE	Male higher
DIRAS3	1	FALSE	46.6586838697505	-0.263175062584041	0.224092512944357	-1.1744036385963	0.240233388540722	FALSE	FALSE	Female higher
RBM26	13	FALSE	3917.27138789079	-0.158235249094821	0.134748112690604	-1.17430401016559	0.240273277627326	FALSE	FALSE	Female higher
TMEM161B	5	FALSE	309.276881731405	-0.0914428561418114	0.0778791435201949	-1.17416360797675	0.240329499575074	FALSE	FALSE	Female higher
CPVL	7	FALSE	1694.11279534733	0.247638075959609	0.210962830641291	1.17384695307146	0.240456333303496	FALSE	FALSE	Male higher
RNASEH1P1	17	FALSE	44.658848689695	0.174390308311237	0.148564131041826	1.17383857791448	0.240459688549355	FALSE	FALSE	Male higher
CYTH1	17	FALSE	1514.43709073378	-0.154244709200843	0.131408396411703	-1.17378123021602	0.240482664005298	FALSE	FALSE	Female higher
ADAMTS18	16	FALSE	1475.91536995934	-0.307871195374093	0.262336560083647	-1.17357334896793	0.240565961331647	FALSE	FALSE	Female higher
LSM14B	20	FALSE	1566.07576477937	-0.0899554518967543	0.0766626818829126	-1.17339296887818	0.240638255503842	FALSE	FALSE	Female higher
SLC25A27	6	FALSE	178.664457469827	-0.35840425214904	0.305443189617089	-1.1733908770346	0.240639093979374	FALSE	FALSE	Female higher
RNF126P1	17	FALSE	160.267486444239	0.123889304169756	0.105584002435853	1.17337192483325	0.240646690700945	FALSE	FALSE	Male higher
ZNF439	19	FALSE	767.870407738415	-0.230240578103532	0.196221525971024	-1.17337064302278	0.240647204502623	FALSE	FALSE	Female higher
PLA2G12AP1	1	FALSE	151.438413192026	0.1480976155553	0.126282984963244	1.17274402088615	0.240898472630505	FALSE	FALSE	Male higher
RHD	1	FALSE	476.387756959588	0.436439623278975	0.372154652329308	1.17273724927879	0.240901188974433	FALSE	FALSE	Male higher
GOLGA8J	15	FALSE	359.390087573217	-0.41164380051611	0.351023445358196	-1.1726960291671	0.24091772436182	FALSE	FALSE	Female higher
ST3GAL6	3	FALSE	727.774301860118	-0.157595658858083	0.134416987768836	-1.17243855463499	0.241021027983168	FALSE	FALSE	Female higher
CEP120	5	FALSE	995.814561968768	-0.085432156112439	0.0728685251254815	-1.17241505801473	0.241030456821794	FALSE	FALSE	Female higher
MNS1	15	FALSE	104.273732690606	0.228487364147305	0.194896471897603	1.17235249013307	0.2410555656339	FALSE	FALSE	Male higher
FAHD1	16	FALSE	263.098150440261	0.172220238525974	0.146913913322437	1.17225274741676	0.241095596706445	FALSE	FALSE	Male higher
DEPP1	10	FALSE	1357.42412560582	-0.269635004027844	0.230046327936705	-1.1720900152861	0.24116091820783	FALSE	FALSE	Female higher
CCNYL6	19	FALSE	98.4104410892246	0.232171563081504	0.198099596621017	1.17199412336851	0.24119941554368	FALSE	FALSE	Male higher
OTUD1	10	FALSE	742.909505173573	-0.311335771216419	0.265656744210755	-1.17194755262613	0.241218113670015	FALSE	FALSE	Female higher
NOCT	4	FALSE	808.79108496167	0.24692303576268	0.210700058670346	1.1719172615372	0.241230276072604	FALSE	FALSE	Male higher
POMC	2	FALSE	89.2421664397412	0.447352017259025	0.381742459366043	1.17186864149704	0.241249798772728	FALSE	FALSE	Male higher
CYC1	8	FALSE	1809.84385154655	0.118175414269718	0.100876486959925	1.17148621875249	0.241403394085944	FALSE	FALSE	Male higher
NAE1	16	FALSE	753.999995033461	0.105834057028783	0.0903448167607767	1.17144580976926	0.241419627869145	FALSE	FALSE	Male higher
TMED2	12	FALSE	1494.15175399364	0.233626440077843	0.199450862608122	1.171348356296	0.241458781695413	FALSE	FALSE	Male higher
HDAC1P1	10	FALSE	76.3283557464301	0.237160402464992	0.20247015763706	1.1713351006034	0.24146410777279	FALSE	FALSE	Male higher
ARNTL2		FALSE	257.672328002306	-0.205274881067126	0.175260509814973	-1.17125575683787	0.241495989468134	FALSE	FALSE	Female higher
DHX16	6	FALSE	2653.24261183214	-0.126314547964734	0.107850324557645	-1.17120229802572	0.241517471812834	FALSE	FALSE	Female higher
HPS4	22	FALSE	1747.58646607901	-0.133636258168257	0.114137699613611	-1.17083363884724	0.241665653581957	FALSE	FALSE	Female higher
FAM13A	4	FALSE	5433.72406397237	-0.215349131616352	0.183949172681921	-1.17069910386999	0.241719745561292	FALSE	FALSE	Female higher
ASS1	9	FALSE	973.766688110267	0.185740249467406	0.158704857796835	1.17035012063198	0.241860099674298	FALSE	FALSE	Male higher
CNEP1R1P1	X	TRUE	48.8880234734568	0.202606788410683	0.173116920286831	1.17034653848388	0.241861540640249	FALSE	FALSE	Male higher
SLC25A19	17	FALSE	209.594808641133	-0.146572750135441	0.12524428756277	-1.1702948931861	0.241882316308572	FALSE	FALSE	Female higher
CUEDC1	17	FALSE	892.394614176237	-0.168244679876693	0.143784303877817	-1.17011854103116	0.241953268028431	FALSE	FALSE	Female higher
P2RX7	12	FALSE	382.981153243501	-0.176520518334026	0.150900360211042	-1.16978195470941	0.242088727365828	FALSE	FALSE	Female higher
CYHR1		FALSE	826.228867892062	-0.0955053558262411	0.0816475785259826	-1.1697267396099	0.242110953803995	FALSE	FALSE	Female higher
CCDC68	18	FALSE	990.824207514851	-0.246496176656889	0.210761480067764	-1.16955041584276	0.242181941270807	FALSE	FALSE	Female higher
CDC37L1	9	FALSE	315.879438794121	0.0915789379514869	0.0783097278685901	1.16944523297493	0.242224294577602	FALSE	FALSE	Male higher
TDRD10	1	FALSE	56.9286822571148	-0.221834067365555	0.18975050619039	-1.16908287529401	0.242370242699351	FALSE	FALSE	Female higher
LGALS16	19	FALSE	184.663827339066	-0.383490589254644	0.328092195236556	-1.16885008184405	0.24246403839006	FALSE	FALSE	Female higher
CIAO1	2	FALSE	2355.11773568589	0.101285818695196	0.0866585752968859	1.16879164408367	0.242487587777412	FALSE	FALSE	Male higher
ARHGEF37	5	FALSE	531.646584705801	-0.320742438472196	0.274427628211707	-1.16876875904331	0.242496810483582	FALSE	FALSE	Female higher
CAPZBP1	2	FALSE	73.5067651676999	0.155204921254184	0.132808683919796	1.16863533824274	0.242550584181214	FALSE	FALSE	Male higher
ANKRD36	2	FALSE	3627.75054534404	-0.230917274919692	0.197596880751951	-1.16862813846524	0.242553486206012	FALSE	FALSE	Female higher
