gene	present_in_deposited_matrix	retained_filterByExpr	removal_reason
ALG8	TRUE	TRUE	retained
ALG9	TRUE	TRUE	retained
ALK	TRUE	TRUE	retained
ALKBH1	TRUE	TRUE	retained
ALKBH2	TRUE	TRUE	retained
ALKBH3	TRUE	TRUE	retained
ALKBH4	TRUE	TRUE	retained
ALKBH5	TRUE	TRUE	retained
ALKBH6	TRUE	TRUE	retained
ALKBH7	TRUE	TRUE	retained
ALKBH8	TRUE	TRUE	retained
ALMS1	TRUE	TRUE	retained
ALOX12	TRUE	TRUE	retained
ALOX12-AS1	TRUE	TRUE	retained
ALOX5	TRUE	TRUE	retained
ALOX5AP	TRUE	TRUE	retained
ALPG	TRUE	TRUE	retained
ALPK1	TRUE	TRUE	retained
ALPK2	TRUE	TRUE	retained
ALPK3	TRUE	TRUE	retained
ALPL	TRUE	TRUE	retained
ALPP	TRUE	TRUE	retained
ALS2	TRUE	TRUE	retained
ALS2CL	TRUE	TRUE	retained
ALYREF	TRUE	TRUE	retained
AMACR	TRUE	TRUE	retained
AMBP	TRUE	TRUE	retained
AMBRA1	TRUE	TRUE	retained
AMD1	TRUE	TRUE	retained
AMD1P2	TRUE	TRUE	retained
AMD1P3	TRUE	TRUE	retained
AMDHD1	TRUE	TRUE	retained
AMDHD2	TRUE	TRUE	retained
AMER1	TRUE	TRUE	retained
AMFR	TRUE	TRUE	retained
AMH	TRUE	TRUE	retained
AMIGO1	TRUE	TRUE	retained
AMIGO2	TRUE	TRUE	retained
AMMECR1	TRUE	TRUE	retained
AMMECR1L	TRUE	TRUE	retained
AMN	TRUE	TRUE	retained
AMN1	TRUE	TRUE	retained
AMOT	TRUE	TRUE	retained
AMOTL1	TRUE	TRUE	retained
AMOTL2	TRUE	TRUE	retained
AMPD2	TRUE	TRUE	retained
AMPD3	TRUE	TRUE	retained
AMPH	TRUE	TRUE	retained
AMT	TRUE	TRUE	retained
AMY2B	TRUE	TRUE	retained
AMZ1	TRUE	TRUE	retained
AMZ2	TRUE	TRUE	retained
ANAPC1	TRUE	TRUE	retained
ANAPC10	TRUE	TRUE	retained
ANAPC10P1	TRUE	TRUE	retained
ANAPC11	TRUE	TRUE	retained
ANAPC13	TRUE	TRUE	retained
ANAPC15	TRUE	TRUE	retained
ANAPC15P1	TRUE	TRUE	retained
ANAPC16	TRUE	TRUE	retained
ANAPC1P1	TRUE	TRUE	retained
ANAPC1P3	TRUE	TRUE	retained
ANAPC1P5	TRUE	TRUE	retained
ANAPC1P6	TRUE	TRUE	retained
ANAPC2	TRUE	TRUE	retained
ANAPC4	TRUE	TRUE	retained
ANAPC5	TRUE	TRUE	retained
ANAPC7	TRUE	TRUE	retained
ANG	TRUE	TRUE	retained
ANGEL1	TRUE	TRUE	retained
ANGEL2	TRUE	TRUE	retained
ANGPT1	TRUE	TRUE	retained
ANGPT2	TRUE	TRUE	retained
ANGPT4	TRUE	TRUE	retained
ANGPTL1	TRUE	TRUE	retained
ANGPTL2	TRUE	TRUE	retained
ANGPTL3	TRUE	TRUE	retained
ANGPTL4	TRUE	TRUE	retained
ANGPTL6	TRUE	TRUE	retained
ANGPTL7	TRUE	TRUE	retained
ANGPTL8	TRUE	TRUE	retained
ANK1	TRUE	TRUE	retained
ANK2	TRUE	TRUE	retained
ANK3	TRUE	TRUE	retained
ANKAR	TRUE	TRUE	retained
ANKDD1A	TRUE	TRUE	retained
ANKDD1B	TRUE	TRUE	retained
ANKEF1	TRUE	TRUE	retained
ANKFN1	TRUE	TRUE	retained
ANKFY1	TRUE	TRUE	retained
ANKH	TRUE	TRUE	retained
ANKHD1	TRUE	TRUE	retained
ANKHD1-EIF4EBP3	TRUE	TRUE	retained
ANKIB1	TRUE	TRUE	retained
ANKK1	TRUE	TRUE	retained
