analysis_scope	go_id	ontology	term_name	universe_genes	selected_deg_genes	measured_term_genes	selected_deg_in_term	expected_selected_in_term	fold_enrichment	fisher_nominal_p	male_higher_genes	female_higher_genes	selected_gene_symbols	nominally_enriched_p_lt_0_05
PAPER_REPRODUCTION_GENOMEWIDE	GO:0003013	BP	circulatory system process	16399	541	404	34	13.327885846698	2.55104225764536	5.90397591638651e-07	13	21	ABCC3; ABCC8; AGT; ATP1A2; ATP2B3; CACNA1C; CACNA1D; CACNA1G; CACNA1H; CPS1; FGA; FGB; FGG; HBB; IRX3; KCND2; KCND3; KEL; KNG1; MFSD2A; MTNR1B; MYBPC3; MYL4; NOS3; SCNN1A; SERPINF2; SLC1A1; SLC38A3; SLC38A5; SLC4A4; SLC4A8; SLC6A6; SLC6A9; SLCO3A1	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0023061	BP	signal release	16399	541	297	28	9.79797548631014	2.85773321632841	6.35006777691469e-07	9	19	ABCC8; AGT; FER1L5; FGA; FGB; FGG; FOXO1; LIF; MLXIPL; MTNR1B; MYB; MYRIP; NLGN2; NR1D1; NRXN2; PAX8; RAPGEF3; RBP4; RIMS2; SEPTIN5; SLC44A4; SLC4A8; SNCAIP; STX1A; STX1B; SYT12; TFR2; VAMP7	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0034369	BP	plasma lipoprotein particle remodeling	16399	541	25	8	0.824745411305567	9.69996303142329	8.77568855450516e-07	8	0	AGT; ANGPTL3; APOA1; APOA2; APOB; APOC1; APOM; LIPC	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0034368	BP	protein-lipid complex remodeling	16399	541	25	8	0.824745411305567	9.69996303142329	8.77568855450516e-07	8	0	AGT; ANGPTL3; APOA1; APOA2; APOB; APOC1; APOM; LIPC	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0055085	BP	transmembrane transport	16399	541	1041	64	34.3423989267638	1.86358559681523	1.0136179656371e-06	13	51	ABCC3; ABCC6; ABCC8; AGT; ANO1; ANO7; ANO9; ATP10A; ATP1A2; ATP2B3; ATP2C2; CACNA1A; CACNA1C; CACNA1D; CACNA1E; CACNA1G; CACNA1H; CBARP; CHRNE; CLDN3; F2; GABRP; GABRR2; GRID1; GRIK2; GRIK3; HPN; ITGB3; KCNA7; KCNC3; KCND2; KCND3; KCNS2; KCNT1; MFSD2A; NDUFC2; NIPAL4; PKD1L1; PKD1L2; PLCH2; PPBP; PRKCE; SCNN1A; SLC15A1; SLC1A1; SLC22A20P; SLC25A29; SLC26A7; SLC28A3; SLC2A11; SLC38A3; SLC38A4; SLC38A5; SLC39A5; SLC44A4; SLC4A1; SLC4A4; SLC4A8; SLC51A; SLC6A2; SLC6A6; SLC6A9; SLCO3A1; TMEM184A	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0046883	BP	regulation of hormone secretion	16399	541	157	19	5.17940118299896	3.66837773879464	1.04894082776329e-06	9	10	ABCC8; AGT; FGA; FGB; FGG; FOXO1; LIF; MLXIPL; MTNR1B; MYB; MYRIP; NLGN2; NR1D1; PAX8; RAPGEF3; RBP4; STX1A; TFR2; VAMP7	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0034367	BP	protein-containing complex remodeling	16399	541	26	8	0.85773522775779	9.3268875302147	1.23116701630705e-06	8	0	AGT; ANGPTL3; APOA1; APOA2; APOB; APOC1; APOM; LIPC	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0006812	BP	monoatomic cation transport	16399	541	700	48	23.0928715165559	2.07856350673356	1.33107118524598e-06	13	35	ABCC8; AGT; ANO1; ANO9; ATP1A2; ATP2B3; ATP2C2; CACNA1A; CACNA1C; CACNA1D; CACNA1E; CACNA1G; CACNA1H; CBARP; CHRNE; F2; FTL; HOMER2; HPN; HPX; ITGB3; KCNA7; KCNC3; KCND2; KCND3; KCNS2; KCNT1; NDUFC2; NIPAL4; PKD1L1; PKD1L2; PLCH2; PRKCE; SCNN1A; SLC15A1; SLC1A1; SLC28A3; SLC38A3; SLC38A4; SLC38A5; SLC39A5; SLC4A4; SLC4A8; SLC6A2; SLC6A6; SLC6A9; TF; TFR2	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0098916	BP	anterograde trans-synaptic signaling	16399	541	477	37	15.7361424477102	2.35127510588746	1.36469078100076e-06	4	33	ACHE; ADGRB1; ATP1A2; CACNA1A; CACNA1E; CHRNE; DTNA; FAM107A; FER1L5; GABRP; GABRR2; GRID1; GRIK2; GRIK3; HAP1; HOMER2; KCND2; KCND3; MAPK8IP2; MTNR1B; NEFL; NLGN2; NRXN2; PLG; RELN; RIMS2; SEPTIN5; SHISA6; SLC1A1; SLC4A8; SLC6A2; SLC6A6; SLC6A9; SNCAIP; STX1A; STX1B; SYT12	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0007268	BP	chemical synaptic transmission	16399	541	477	37	15.7361424477102	2.35127510588746	1.36469078100076e-06	4	33	ACHE; ADGRB1; ATP1A2; CACNA1A; CACNA1E; CHRNE; DTNA; FAM107A; FER1L5; GABRP; GABRR2; GRID1; GRIK2; GRIK3; HAP1; HOMER2; KCND2; KCND3; MAPK8IP2; MTNR1B; NEFL; NLGN2; NRXN2; PLG; RELN; RIMS2; SEPTIN5; SHISA6; SLC1A1; SLC4A8; SLC6A2; SLC6A6; SLC6A9; SNCAIP; STX1A; STX1B; SYT12	TRUE
